Data;Cidade;Localidade;Tipo de Ação;Pauta;Tratativa;Origem;Área Temática;MicroCategoria;Público Alvo;Status;"Data do Atendimento
(se atendida)"
05/11/2024;Betim;Assentamento 02 De Julho;Atendimento individual presencial ;Visita com o time da agropecuária para atualização dos dados cadastrais e acompanhamento sobre o atendimento emergencial: água potável, mineral e insumos agropecuários.;Visita com o time da agropecuária para atualização dos dados cadastrais e acompanhamento sobre o atendimento emergencial: água potável e mineral na propriedade da Sr. A.S.;Demanda de Órgão Público;Atendimento Emergencial;Água cuja finalidade não foi especificada;Comunidade em Geral;Atendida;
13/11/2024;Maravilhas;Propriedade Rural;Atendimento individual presencial ;Água para dessedentação animal;Visita técnica agropecuária para avaliar a elegibilidade de fornecimento de água em dessedentação animal. Foi constatado outras fontes de água na propriedade, porém após cercamento de um determinado pasto, o gado ficou sem a bebida, demandando assim instalação hidráulica e fornecimento de água.;Solicitação Comunidade ;Atendimento Emergencial;Água para dessedentação animal;Comunidade em Geral;Em atendimento;
11/11/2024;Brumadinho;Tejuco;Atendimento individual presencial ;O morador R. nos solicitou orientação referente a ligação de rede via Copasa. ;O morador R. nos solicitou orientação referente a ligação de rede via Copasa. Foi repassado a ele toda a orientação e passo a passo para religar a água em sua residência.;Solicitação Comunidade ;Atendimento Emergencial;Água para uso doméstico;Comunidade em Geral;Atendida;
12/11/2024;Fortuna De Minas;Peixe Bravo;Atendimento individual virtual ou por telefone ;Sistema de tratamento de água;Superficiário pede interrupção da coleta no poço de sua propriedade devido a insuficiência de água por conta da seca.;Solicitação Comunidade ;Atendimento Emergencial;Estruturas de fornecimento hídrico;Comunidade em Geral;Atendida;
07/12/2024;Papagaios;Propriedade Rural;Atendimento individual virtual ou por telefone ;Dessedentação animal;Sr. R. solicita abastecimento para seu gado e informa que seus bebedouros já estão vazios. Foi informado que o caminhão pipa já estava a caminho e houve uma tentativa de entrega no dia anterior, mas a porteira estava trancada.;Solicitação Comunidade ;Atendimento Emergencial;Água para dessedentação animal;Comunidade em Geral;Atendida;
13/11/2024;Brumadinho;Tejuco;Atendimento individual presencial ;O moradora L solicitou água mineral para o seu pai.; Foi solicitado para a área de Saneamento e o mesmo iniciou a entrega a partir da solicitação.;Solicitação Comunidade ;Atendimento Emergencial;Água mineral para consumo humano;Comunidade em Geral;Atendida;
14/11/2024;Brumadinho;Tejuco;Atendimento individual presencial ;A moradora S da rua do cruzeiro solicitou abastecimento de sua caixa d'água.;Foi solicitado e em seguida a área de saneamento providenciou o abastecimento.;Solicitação Comunidade ;Atendimento Emergencial;Água cuja finalidade não foi especificada;Comunidade em Geral;Atendida;
19/11/2024;São Joaquim De Bicas;Primavera;Atendimento individual presencial ;Devolutiva ao Sr. Ronaldo Sebastião - Corte de água potável.;Realizamos juntamente com o tecncio da agro a devolutiva ao Sr. R.S.O, sobre a não elegibilidade da sua propriedade ao atendimento de água potável e mineral.;Solicitação Comunidade ;Atendimento Emergencial;Água cuja finalidade não foi especificada;Comunidade em Geral;Negada;
26/11/2024;Brumadinho;Parque Da Cachoeira;Atendimento individual virtual ou por telefone ;Orientação referente a distribuição de água mineral. ;Morador recebe orientações referente ao dia certo de distribuição da água mineral de 1,5ml na comunidade nesta quinzena. ;Solicitação Comunidade ;Atendimento Emergencial;Água mineral para consumo humano;Comunidade em Geral;Respondida;
27/11/2024;Fortuna De Minas;Beira Córrego/ Retiro Dos Moreiras;Reunião comunidade virtual ;Poço Artesiano;Realizada reunião para atualização do processo de perfuração de poço artesiano.;Solicitação Comunidade ;Atendimento Emergencial;Estruturas de fornecimento hídrico;Comunidade em Geral;Atendida;
03/12/2024;Esmeraldas;Padre João;Atendimento individual presencial ;Visita referente a solicitação de atendimento emergencial de água para consumo humano. ; Solicitação em análise;Solicitação Comunidade ;Atendimento Emergencial;Água mineral para consumo humano;Comunidade em Geral;Em análise;
06/12/2024;Esmeraldas;Vinhático;Atendimento individual virtual ou por telefone ;Solicita abastecimento de água potável. ;Atendimento será realizado no dia 07/12. ;Solicitação Comunidade ;Atendimento Emergencial;Água para uso doméstico;Comunidade em Geral;Em atendimento;
10/12/2024;São Joaquim De Bicas;Tupanuara;Atendimento individual presencial ; Coletar assinatura do Doc. de retificação da Outorga do poço Agro 02;Coletamos à assinatura do Sr. A.D, para retificação da Outorga do Poço Agro 02 de Irrigação e dessedentação animal.;Demanda de Órgão Público;Atendimento Emergencial;Água para dessedentação animal;Comunidade em Geral;Atendida;
09/12/2024;Esmeraldas;Vinhático;Atendimento individual presencial ;Reclama que a tubulação que conduz água para sua propriedade está danificada. ;Reparo realizado;Solicitação Comunidade ;Atendimento Emergencial;Estruturas de fornecimento hídrico;Comunidade em Geral;Não se aplica;
09/12/2024;Brumadinho;Parque Da Cachoeira;Atendimento individual virtual ou por telefone ;Solicitação de informações sobre água mineral que não foi entregue;Realizada tratativa com equipe de entrega, o demandante informou que a água foi entregue posteriormente;Solicitação Comunidade ;Atendimento Emergencial;Água mineral para consumo humano;Comunidade em Geral;Atendida;
09/12/2024;Brumadinho;Parque Da Cachoeira;Atendimento individual virtual ou por telefone ;Reclamação sobre a não entrega de água mineral ;Realizada tratativa com a equipe para acesso ao espaço onde ficam acomodadas as garrafas. Os RC's viabilizaram a entrega no dia 13/12;Solicitação Comunidade ;Atendimento Emergencial;Água mineral para consumo humano;Comunidade em Geral;Atendida;
13/12/2024;Pequi;Propriedade Rural;Atendimento individual virtual ou por telefone ;Dessedentação animal;Sr. R. informa que o abastecimento do pipa ainda não chegou em sua propriedade e pede informações sobre seu atendimento. Foi informado que o caminhão iria ainda no mesmo dia.;Solicitação Comunidade ;Atendimento Emergencial;Água para dessedentação animal;Comunidade em Geral;Atendida;
12/12/2024;Paraopeba;Propriedade Rural;Atendimento individual virtual ou por telefone ;Instalação elétrica para poço artesiano;Sr. R. informa que a CEMIG negou a instalação do transformador para a propriedade e pede providências, visto que nossa equipe está acompanhando o projeto. A demanda foi repassada internamente para análise e acompanhamento.;Solicitação Comunidade ;Atendimento Emergencial;Estruturas de fornecimento hídrico;Comunidade em Geral;Em análise;
06/01/2025;Papagaios;Propriedade Rural;Atendimento individual virtual ou por telefone ;Dessedentação animal;Sr. R. solicita abastecimento para seu gado e informa que seus bebedouros já estão vazios. Foi informado que o caminhão pipa já estava a caminho e houve uma tentativa de entrega no dia anterior, mas a porteira estava trancada.;Solicitação Comunidade ;Atendimento Emergencial;Água para dessedentação animal;Comunidade em Geral;Atendida;07/12/2024
16/12/2024;Brumadinho;Parque Da Cachoeira;Atendimento individual virtual ou por telefone ;Solicitação de entrega de água mineral pelo canal Vale;Tratativa com a moradora para entendimento da demanda para posterior atendimento.;Solicitação Comunidade ;Atendimento Emergencial;Água mineral para consumo humano;Comunidade em Geral;Respondida;
17/12/2024;Pequi;Propriedade Rural;Atendimento individual presencial ;Poço artesiano;A reunião com a sra. J. ocorreu para informar sobre seu atendimento via poço artesiano perfurado em sua propriedade o qual é destinado para dessedentação animal. Sra. J. informou que voltou a ter trabalhadores em sua propiedade, na área do areeiro e pede atendimento com água mineral.;Solicitação Comunidade ;Atendimento Emergencial;Estruturas de fornecimento hídrico;Comunidade em Geral;Em análise;
10/01/2025;Pequi;Propriedade Rural;Atendimento individual virtual ou por telefone ;Dessedentação animal;Sr. R. informa que o abastecimento do pipa ainda não chegou em sua propriedade e pede informações sobre seu atendimento. Foi informado que o caminhão iria ainda no mesmo dia.;Solicitação Comunidade ;Atendimento Emergencial;Água para dessedentação animal;Comunidade em Geral;Atendida;13/12/2024
06/01/2025;Brumadinho;Parque Da Cachoeira;Atendimento individual presencial ;Entrega de filtro para água mineral. ;Em atendimento a solicitação da moradaora, realizada visita para entrega de filtro para galão de água mineral que é disponibilizado pela Vale na comunidade. ;Solicitação Comunidade ;Atendimento Emergencial;Água mineral para consumo humano;Comunidade em Geral;Atendida;06/01/2025
06/01/2025;Brumadinho;Parque Da Cachoeira;Atendimento individual presencial ;Entrega de filtro para água mineral. ;Em atendimento a solicitação da moradaora, realizada visita para entrega de filtro para galão de água mineral que é disponibilizado pela Vale na comunidade. ;Solicitação Comunidade ;Atendimento Emergencial;Água mineral para consumo humano;Comunidade em Geral;Atendida;06/01/2025
06/01/2025;Pará De Minas;Córrego Do Barro;Atendimento individual virtual ou por telefone ;Reclama que água do Sistema de filtragem está com uma coloração preta. ;O problema está sendo verificado pela área de saneamento. ;Solicitação Comunidade ;Atendimento Emergencial;Uso/qualidade da água;Comunidade em Geral;Atendida;06/01/2025
17/01/2025;Pequi;Propriedade Rural;Atendimento individual presencial ;Poço artesiano;A reunião com a sra. J. ocorreu para informar sobre seu atendimento via poço artesiano perfurado em sua propriedade o qual é destinado para dessedentação animal. Sra. J. informou que voltou a ter trabalhadores em sua propiedade, na área do areieiro e pede atendimento com água mineral.;Solicitação Comunidade ;Atendimento Emergencial;Água para dessedentação animal;Comunidade em Geral;Atendida;17/01/2025
14/03/2024;Brumadinho;Tejuco;Reunião liderança presencial ;Reunião com representante da igreja católica para trativas sobre a retomada das atividades de sondagem para obra do AJRI ;Reunião realizada com o representante da Igreja Católica sobre a obra AJRI - Praça Tejuco. O Padre M  emitiu um documento autorizando a reforma da praça do Tejuco.​;Solicitação Comunidade ;AJRI;Obras - outros;Lideranças;Atendida;17/04/2024
13/01/2025;Esmeraldas;Riacho;Atendimento individual presencial ;Reclama que os postes de energia instalados pela Vale para instalação elétrica do reservatórios estão apodrecendo.  ;Realizada visita da equipe técnica na propriedade para verificar a situação e mensurar materiais;Solicitação Comunidade ;Atendimento Emergencial;Estruturas de fornecimento hídrico;Comunidade em Geral;Atendida;13/01/2025
15/01/2025;São José Da Varginha;Sede;Atendimento individual presencial ;Sistema de Tratamento de água subterranea;Realizada liberação do SISTRAT para atendimento com água tratada na propriedade;Demanda de Órgão Público;Atendimento Emergencial;Uso/qualidade da água;Comunidade em Geral;Atendida;15/01/2025
19/03/2025;Paraopeba;Propriedade Rural;Atendimento individual presencial ;Visita técnica Agropecuária para atualização das demandas da propriedade do sr. O., o qual informa necessitar de aumento do abastecimento de água para dessedentação animal.;Realizamos a visita e a avaliação encontra-se sob análise e foi informado ao produtor que retornaremos, assim que houver a conclusão da visita técnica.;Solicitação Comunidade ;Atendimento Emergencial;Água para dessedentação animal;Comunidade em Geral;Atendida;19/03/2025
27/01/2025;Brumadinho;Parque Da Cachoeira;Atendimento individual virtual ou por telefone ;Solicitação de informações sobre como solcitar novos galões de água mineral pois foram extraviados;Realizada a tratativa indicando o caminho institucional para a situação. ;Solicitação Comunidade ;Atendimento Emergencial;Água mineral para consumo humano;Comunidade em Geral;Respondida;27/01/2025
29/01/2025;Brumadinho;Parque Da Cachoeira;Atendimento individual virtual ou por telefone ;Moradora questionou o motivo da não entrega de água mineral;Realizada trataiva para informar a data correta da entrega de água mineral;Solicitação Comunidade ;Atendimento Emergencial;Água mineral para consumo humano;Comunidade em Geral;Respondida;29/01/2025
30/01/2025;Brumadinho;Parque Da Cachoeira;Atendimento individual virtual ou por telefone ;Morador solicita informações sobre a data de entrega de água em garrafas;Realizada tratativa para informar a data da entrega ;Solicitação Comunidade ;Atendimento Emergencial;Água mineral para consumo humano;Comunidade em Geral;Respondida;30/01/2025
31/01/2025;Brumadinho;Tejuco;Atendimento individual virtual ou por telefone ;Moradora perguntou sobre o abastecimento de água na Rua do Cruzeiro.;Equipe de sanemanto identificou vazamento na rua Maria Solano e mandou equipes para reparo.;Solicitação Comunidade ;Atendimento Emergencial;Estruturas de fornecimento hídrico;Comunidade em Geral;Respondida;31/01/2025
31/01/2025;Brumadinho;Tejuco;Atendimento individual virtual ou por telefone ;Morador perguntou sobre a ligação de água em sua residência.;O morador Rick nos solicitou orientação referente a ligação de rede via Copasa. Foi repassado a ele toda a orientação e passo a passo para religar a água em sua residência.;Solicitação Comunidade ;Atendimento Emergencial;Água para uso doméstico;Comunidade em Geral;Respondida;31/01/2025
31/01/2025;Brumadinho;Parque Da Cachoeira;Atendimento individual virtual ou por telefone ;Moradora solicitou troca de vasilhames de água mineral;Encaminhada informação para aequipe e a entrega ocorreu de forma satisfatória;Solicitação Comunidade ;Atendimento Emergencial;Água mineral para consumo humano;Comunidade em Geral;Atendida;31/01/2025
31/01/2025;Brumadinho;Parque Da Cachoeira;Atendimento individual virtual ou por telefone ;Moradora informa que não estava em casa e que deseja acessar a água mineral entregue;Encaminhada informação de como deve ser o prcedimento para o acesso a água;Solicitação Comunidade ;Atendimento Emergencial;Água mineral para consumo humano;Comunidade em Geral;Atendida;02/02/2025
05/02/2025;Brumadinho;Parque Da Cachoeira;Atendimento individual virtual ou por telefone ;Solicitação de entrega de água mineral ;Realizada tratativas com a equipe de entrega de garrafas .;Solicitação Comunidade ;Atendimento Emergencial;Água mineral para consumo humano;Comunidade em Geral;Atendida;05/02/2025
05/02/2025;Brumadinho;Parque Da Cachoeira;Atendimento individual virtual ou por telefone ;Aumento quantidade de água mineral;Diretora da UMEI da comunidade solicita aumento da entrega de recipientes de agua mineral, alegando aumento de alumos e funcionários. ;Solicitação Comunidade ;Atendimento Emergencial;Água mineral para consumo humano;Comunidade em Geral;Respondida;05/02/2025
05/02/2025;Brumadinho;Parque Da Cachoeira;Atendimento individual virtual ou por telefone ;Moradora solicitou visita para avaliação de eventuias danos na sua rede hidráulica;Realizada a tratativa com a engenharia e a situação foi sanada. ;Solicitação Comunidade ;Atendimento Emergencial;Estruturas de fornecimento hídrico;Comunidade em Geral;Atendida;07/02/2025
13/02/2025;Brumadinho;Parque Da Cachoeira;Atendimento individual virtual ou por telefone ;Solicitação de troca de vasilhame de água mineral.;Orientado a abrir protocolo via 0800 para evidenciar a solicitação e efetivar a troca.;Solicitação Comunidade ;Atendimento Emergencial;Água mineral para consumo humano;Lideranças;Respondida;13/02/2025
13/02/2025;Esmeraldas;Padre João;Atendimento individual presencial ;Solicita reparo no Sistema de Filtragem, devido a rompimento da tubulação e transbordamento da caixa de pré -tratamento.;Equipe técnica esteve na propriedade para realização dos reparos. ;Solicitação Comunidade ;Atendimento Emergencial;Estruturas de fornecimento hídrico;Comunidade em Geral;Atendida;14/02/2025
17/02/2025;Esmeraldas;Padre João;Atendimento individual virtual ou por telefone ;Reclama que seu nome foi retirado da lista de entrega de água mineral;Realizado contato com a equipe responsável pela distribuição e o nome foi inclúído novamente.;Solicitação Comunidade ;Atendimento Emergencial;Água mineral para consumo humano;Comunidade em Geral;Respondida;17/02/2025
18/02/2025;São Joaquim De Bicas;Fhemig;Atendimento individual presencial ;Visita com o time da Agropecuária;Realizamos visita com time da agro, para avaliação da elegibilidade ao atendimento de água potável e mineral, na propriedade da dra. E.;Solicitação Comunidade ;Atendimento Emergencial;Água cuja finalidade não foi especificada;Comunidade em Geral;Em análise;18/02/2025
18/02/2025;Brumadinho;Parque Da Cachoeira;Atendimento individual presencial ;Entrega de recipiente de água mineral.;Solicitação da moradora explicando que deixou para os entregadores 7 galoões vazios eles recolheram os 7 e deixaram somente 6. Assim a RC realizou a reposição da und que ficou faltando.  ;Solicitação Comunidade ;Atendimento Emergencial;Água mineral para consumo humano;Comunidade em Geral;Respondida;18/02/2025
18/02/2025;Esmeraldas;Vinhático;Atendimento individual presencial ;Orientações sobre funcionamento do Sistema Filtragem, após instalação do reservatório de pré-tratameento. ;Foram esclarecidas as duvidas do morador e o Sistema será ativado novamente. ;Solicitação Comunidade ;Atendimento Emergencial;Estruturas de fornecimento hídrico;Comunidade em Geral;Atendida;20/02/2025
24/02/2025;Brumadinho;Tejuco;Reunião liderança presencial ;Moradora solicitou a equipe Vale para verificar se a canalização de água da comunidade estaria ligada em fossa coletiva na rua José Ribeiro. Os moradores relatam que há água limpa caindo na fossa e contribuindo para o transbordo. Equipe relatou que o encanamento é antigo e náo há como constatar o fato.;Equipe de Território juntamente com o Saneamento esteve no local com a reclamante para averigar.;Solicitação Comunidade ;Atendimento Emergencial;Estruturas de fornecimento hídrico;Lideranças;Respondida;24/02/2025
26/02/2025;Esmeraldas;Taquaras;Atendimento individual presencial ;Visita com equipe agropecuária referente a solictação de adequação elétrica para abastecimento de água. ;Foi identificado a necessidade de adequação da rede hidráulica do reservatório. ;Solicitação Comunidade ;Atendimento Emergencial;Estruturas de fornecimento hídrico;Comunidade em Geral;Em atendimento;26/02/2025
28/02/2025;Brumadinho;Parque Da Cachoeira;Atendimento individual virtual ou por telefone ;Solicitação de entrega de água mineral para o seu vizinho;Realizada tratativas com a equipe de entrega de galões ;Solicitação Comunidade ;Atendimento Emergencial;Água mineral para consumo humano;Comunidade em Geral;Atendida;28/02/2025
01/03/2025;Paraopeba;Propriedade Rural;Atendimento individual virtual ou por telefone ;Sr. L. solicita o contato da base de abastecimento dos pipas que atendem sua propriedade, a fim de facilitar quando sua entrega estiver com atraso.;"
O número de contato foi informado ao produtor rural e reforçamos nossos canais de comunicação.";Solicitação Comunidade ;Atendimento Emergencial;Água cuja finalidade não foi especificada;Comunidade em Geral;Respondida;01/03/2025
06/03/2025;Esmeraldas;Padre João;Atendimento individual presencial ;Deseja saber quando será instalado o reservatório de abastecimento de água potável em sua propriedade. ;Foi informado que a previsão de inicio das obras é dia 18/03. ;Solicitação Comunidade ;Atendimento Emergencial;Água para uso doméstico;Comunidade em Geral;Atendida;18/03/2024
06/03/2025;Esmeraldas;São José;Atendimento individual presencial ;Reclama que está com problemas na bomba do sistema de filtragem, solicita reparo com urgência pois está com pouca água. ;Equipe do saneamento, responsável pelo acompanhamento do Sistema, esteve na propriedade para identificação e resolução do problema.;Solicitação Comunidade ;Atendimento Emergencial;Estruturas de fornecimento hídrico;Comunidade em Geral;Atendida;07/03/2025
12/03/2025;Betim;Assentamento 02 De Julho;Reunião comunidade presencial ;Conclusão da obra de Canalização do bueiro da propriedade da H.F;Conclusão das obras de canalização através de bueiro duplo, para travessia do talvegue existente no trecho do sistema viário de acesso à propriedade da Sra. H.F, Gleba 02, no Assentamento Dois de Julho, onde existirá o sistema de poço/ SISTRAT.;Solicitação Comunidade ;Atendimento Emergencial;Estruturas de fornecimento hídrico;Comunidade em Geral;Atendida;12/03/2025
17/03/2025;Esmeraldas;Vinhático;Atendimento individual virtual ou por telefone ;Reclama que está sem água, solicita abastecimento. ;Realizado contato com a central de abastecimento e a entrega será realizada. ;Solicitação Comunidade ;Atendimento Emergencial;Água cuja finalidade não foi especificada;Comunidade em Geral;Atendida;17/03/2025
21/03/2025;Pequi;Propriedade Rural;Atendimento individual virtual ou por telefone ;Sr. I. informa que seu poço artesiano parou de funcionar e pede reparo e atendimento por caminhão pipa dessedentação animal.;A demanda foi direcionada para a equipe técnica e o atendimento do caminhão pipa solicitado na base de abastecimento. Sr. I. foi comunicado do andamento interno.;Solicitação Comunidade ;Atendimento Emergencial;Água para dessedentação animal;Comunidade em Geral;Atendida;22/03/2025
05/01/2024;Mário Campos;Reta 2;Atendimento individual presencial ;Acompanhamento de visita da equipe de agropecuária ;Acompanhamento de visita da equipe de agropecuária para levantamento de informações, para análise sobre a elegibilidade da solicitação de aumento de fornecimento de água para dessedentação animal, apresentada pelo superficiário.  ;Solicitação Comunidade ;Atendimento Emergencial;Água para dessedentação animal;Comunidade em Geral;Atendida;Atendida
24/03/2025;Esmeraldas;Taquaras;Atendimento individual virtual ou por telefone ;Reclama que foi concluído as obras de instalação hidráulica em sua propriedade, porém ficaram de realizar o abastecimento de água no sábado e não fizeram . ;Foi realizado o abastecimento de água na propriedade no periodo da tarde. ;Solicitação Comunidade ;Atendimento Emergencial;Água para uso doméstico;Comunidade em Geral;Atendida;24/05/2025
24/03/2025;Esmeraldas;São José;Atendimento individual presencial ;Reclama que está com pouca água , devido problemas no  Sistema de Filtragem instalado pela Vale na propriedade . ;Equipe de saneamento esteve no local e foi necessário  trocar a bomba do reservatório de pré-tratamento. ;Solicitação Comunidade ;Atendimento Emergencial;Estruturas de fornecimento hídrico;Comunidade em Geral;Atendida;25/03/2025
24/03/2025;Fortuna De Minas;Retiro Dos Moreiras/Beira Córreo;Atendimento individual virtual ou por telefone ;Processo de Perfuração de Poço;Realizado reunião virtual para esclarecimentos acerca do status processo de perfuração de poço na propriedade, o qual está em fase de regularização documental junto ao IGAM.;Solicitação Comunidade ;Atendimento Emergencial;Estruturas de fornecimento hídrico;Comunidade em Geral;Atendida;24/03/2025
19/09/2024;Mário Campos;Reta 1;Atendimento individual presencial ;Revisão de atendimento agropecuário;Em razão da necessidade do aumento de entrega de água para irrigação na propriedade do senhor E.B, estivemos no local acompanhando o técnico e verificar as devidas adequações da entrega.;Solicitação Comunidade ;Atendimento Emergencial;Água para irrigação;Comunidade em Geral;Atendida;
25/03/2025;Fortuna De Minas;Três Barras;Atendimento individual virtual ou por telefone ;reunião virtual para tratativa acerca do abastecimento de água potável na propriedade;Foi solicitado pelo proprietário a suspensão do abastecimento via caminhão pipa pois a fonte de água existente na propriedade está sendo suficiente para atender as demandas. A equipe técnica entendeu que a demanda era pertinente e acatou o pedido do morador.;Solicitação Comunidade ;Atendimento Emergencial;Água para uso doméstico;Comunidade em Geral;Atendida;25/03/2025
25/03/2025;Pompéu;Condomínio Recanto Do Piau;Atendimento individual presencial ;Atendimento de chamado para inspeção de reservatório taça.;Estiveram presentes no condomínio Recanto do Piau, as equipes de Relacionamento com Comunidades, Agropecuária e Saneamento, com intuito de atender a solicitação aberta pelo morador, referente aos possíveis danos que, segundo ele, foram  causados a estrutura do reservatório devido ao alto teor de cloro na água que é entregue pela Vale. Foi constatado pelas equipes e o assunto está em análise interna para as devidas providências.;Solicitação Comunidade ;Atendimento Emergencial;Uso/qualidade da água;Comunidade em Geral;Atendida;26/03/2025
25/03/2025;Pará De Minas;Córrego Do Barro;Atendimento individual presencial ;Reclama que o a bomba do poço não está funcionando, solicita que uma equipe da elétrica verifique o problema com urgência. ;Equipe de saneamento  esteve na propriedade para realizar a manutenção no painel. ;Solicitação Comunidade ;Atendimento Emergencial;Estruturas de fornecimento hídrico;Comunidade em Geral;Atendida;26/03/2025
31/03/2025;Paraopeba;Propriedade Rural;Atendimento individual presencial ;Sr. B. informa que a tubulação de saída do poço se rompeu e a propriedade ficou sem água.;Nossa equipe foi mobilizada para reparo e imediato atendimento com caminhões pipa. O produtor foi avisado e a propriedade abastecida para um primeiro momento.;Solicitação Comunidade ;Atendimento Emergencial;Estruturas de fornecimento hídrico;Comunidade em Geral;Atendida;01/04/2025
06/04/2025;São Joaquim De Bicas;Fhemig;Atendimento individual presencial ;Manutenção e substituição do reservatório;Realizamos manutenção e substituição do reservatório da Sra. D.B, devido a um vazamento ocasionado por uma rachadura, inviabilizando a utilização efetiva do reservatório.;Solicitação Comunidade ;Atendimento Emergencial;Estruturas de fornecimento hídrico;Lideranças;Atendida;06/02/2025
11/01/2024;Brumadinho;Córrego Do Feijão;Atendimento individual presencial ;Identificação  e apoio na manutenção da rede fluvial da comunidade danificada próximo ao curso dágua do ribeirão Ferro Carvão.  ;Apoio a equipe da prefeitura que executou o serviço.;Solicitação Comunidade ;Obras;Estruturas de fornecimento hídrico;Comunidade em Geral;Atendida;Atendida
30/10/2024;Esmeraldas;São José;Atendimento individual presencial ;Solicita proteção de alvenaria no painel do poço perfurado pela Vale. ;Solicitação em análise pela área responsável. ;Solicitação Comunidade ;Obras;Estruturas de fornecimento hídrico;Comunidade em Geral;Em análise;
13/01/2025;Esmeraldas;Riacho;Atendimento individual virtual ou por telefone ; Solicita apoio da Vale para desassoriar o riacho que faz divisa com seu terreno. ;Foi informada esse tipo de serviço não está dentro dos critérios de atendimento da Vale. ;Solicitação Comunidade ;Obras;Outros;Comunidade em Geral;Negada;13/01/2025
13/05/2024;Brumadinho;Parque Da Cachoeira, Parque Do Lago E Alberto Flores;Atendimento individual virtual ou por telefone ;Reclamação de morador sobre a turbidez da água;Encaminhado para a área de saneamento que se posicionou sobre a não relação do problema com as ações da Vale;Solicitação Comunidade ;Outros;Uso/qualidade da água;Comunidade em Geral;Respondida;13/05/2024
02/01/2024;Brumadinho;Parque Da Cachoeira, Parque Do Lago E Alberto Flores;Atendimento individual presencial ;Qualidade da água do recipiente de galão, entregue na comunidade.;Situação encaminhada para equipe de saneamento.;Solicitação Comunidade ;Atendimento Emergencial;Água mineral para consumo humano;Comunidade em Geral;Atendida;Atendida
02/01/2024;Brumadinho;Parque Da Cachoeira, Parque Do Lago E Alberto Flores;Atendimento individual virtual ou por telefone ;Atraso na entrega de água mineral.;A entrega foi realizada na quarta feira dia 03/01.;Solicitação Comunidade ;Atendimento Emergencial;Água mineral para consumo humano;Comunidade em Geral;Atendida;Atendida
03/01/2024;Brumadinho;Parque Da Cachoeira, Parque Do Lago E Alberto Flores;Atendimento individual presencial ;Diálogo com moradora referente a entrega de galões de água.;Realizada entrega pela RC na moradia da solicitante.;Solicitação Comunidade ;Atendimento Emergencial;Água mineral para consumo humano;Comunidade em Geral;Atendida;Atendida
03/01/2024;Brumadinho;Parque Da Cachoeira, Parque Do Lago E Alberto Flores;Atendimento individual virtual ou por telefone ;Atraso na entrega de água mineral.;Interface com equipe de saneamento para antecipar a entrega da água de 1,5ml aos moradores cadastrados.;Solicitação Comunidade ;Atendimento Emergencial;Água mineral para consumo humano;Comunidade em Geral;Atendida;Atendida
08/01/2024;Brumadinho;Parque Da Cachoeira, Parque Do Lago E Alberto Flores;Atendimento individual presencial ;Entrega de água mineral.;Em função de ausência da moradora, a RC realiza entrega na associação para morador.;Solicitação Comunidade ;Atendimento Emergencial;Água mineral para consumo humano;Comunidade em Geral;Atendida;Atendida
22/01/2024;Brumadinho;Parque Da Cachoeira, Parque Do Lago E Alberto Flores;Atendimento individual virtual ou por telefone ;Solicitação de informações sobre pedido de protocolo de água em garrafa;Encaminhado para a área responsável;Solicitação Comunidade ;Atendimento Emergencial;Água mineral para consumo humano;Comunidade em Geral;Em atendimento;Em atendimento
21/02/2024;Brumadinho;Parque Da Cachoeira, Parque Do Lago E Alberto Flores;Atendimento individual virtual ou por telefone ;Solicitação de mudança de endereço de entrega de galão.;Encaminhado para a área responsável;Solicitação Comunidade ;Atendimento Emergencial;Água mineral para consumo humano;Comunidade em Geral;Em atendimento;Em atendimento
22/02/2024;Brumadinho;Parque Da Cachoeira, Parque Do Lago E Alberto Flores;Atendimento individual virtual ou por telefone ;Solicitação de mudança de vasilhame de galão para garrafa de água mineral;Encaminhado para a área responsável;Solicitação Comunidade ;Atendimento Emergencial;Água mineral para consumo humano;Comunidade em Geral;Em atendimento;Em atendimento
29/02/2024;Brumadinho;Parque Da Cachoeira, Parque Do Lago E Alberto Flores;Atendimento individual virtual ou por telefone ;Solicitação de mudança de vasilhame de galão para garrafa de água mineral;Encaminhado para a área responsável;Solicitação Comunidade ;Atendimento Emergencial;Água mineral para consumo humano;Comunidade em Geral;Em atendimento;Em atendimento
29/02/2024;Brumadinho;Parque Da Cachoeira, Parque Do Lago E Alberto Flores;Atendimento individual presencial ;Solicitação de mudança de vasilhame de galão para garrafa de água mineral;Encaminhado para a área responsável;Solicitação Comunidade ;Atendimento Emergencial;Água mineral para consumo humano;Comunidade em Geral;Em atendimento;Em atendimento
18/03/2024;Brumadinho;Parque Da Cachoeira, Parque Do Lago E Alberto Flores;Atendimento individual virtual ou por telefone ;Solicitação de mudança de vasilhame de água potável para os vizinhos;Encaminhado para a área responsável;Solicitação Comunidade ;Atendimento Emergencial;Água mineral para consumo humano;Comunidade em Geral;Em atendimento;24/04/2024
01/04/2024;Brumadinho;Parque Da Cachoeira, Parque Do Lago E Alberto Flores;Atendimento individual virtual ou por telefone ;Solicitação de equipamento para retirada de água em garrafas;Encaminhado para a área responsável;Solicitação Comunidade ;Atendimento Emergencial;Água mineral para consumo humano;Comunidade em Geral;Em atendimento;01/04/2024
